id,ccode,country,leader,age,tstart,tstop,group,survival_days,status,GDP_trend,GDP_pc,pop_log,polity5,violence
41,140,Brazil,Dutra,62,1947,1948,B,1826,0,1.0867052023121386,1.88,8.546153950788119,5,0
41,140,Brazil,Dutra,63,1948,1949,B,1826,0,1.087518256375688,1.936,8.569679753576535,5,0
41,140,Brazil,Dutra,64,1949,1950,B,1826,0,1.0799737790888233,1.977,8.598658333104513,5,0
41,140,Brazil,Dutra,65,1950,1951,B,1826,0,1.0481209411263708,1.969,8.625196292367871,5,0
42,140,Brazil,Cafe Filho,55,1954,1955,B,441,0,1.085883514313919,2.2,8.742387917632147,5,0
43,140,Brazil,Castello Branco,64,1964,1965,B,1064,0,1.0805860805860805,3.186,9.049343342624187,-9,0
43,140,Brazil,Castello Branco,65,1965,1966,B,1064,0,1.0675923500130993,3.26,9.080837994814537,-9,0
43,140,Brazil,Castello Branco,66,1966,1967,B,1064,0,1.0615129903209373,3.334,9.10672821593546,-9,0
44,140,Brazil,Cardoso,68,1999,2000,A,1461,0,1.0105978573897016,8.773,9.818905984803974,8,0
44,140,Brazil,Cardoso,69,2000,2001,A,1461,0,1.0062821763091647,8.874,9.83297103875269,8,0
44,140,Brazil,Cardoso,70,2001,2002,A,1461,0,0.9922839853328235,8.822,9.847658936475995,8,0
44,140,Brazil,Cardoso,71,2002,2003,A,1461,0,1.0070758968811973,8.938,9.859308366449312,8,0
46,145,Bolivia,Ballivian Rojas,49,1951,1952,B,331,1,0.9994934999155832,2.368,5.726877063118405,-5,0
47,145,Bolivia,Barrientos Ortuna,45,1964,1965,B,425,0,1.0848371707114708,2.092,6.015388571727349,-4,0
47,145,Bolivia,Barrientos Ortuna,46,1965,1966,B,425,0,1.099341104916371,2.169,6.038496022833952,-4,0
48,145,Bolivia,Torres,49,1970,1971,B,319,1,1.0460050535854317,2.401,6.139192502470227,-5,0
49,145,Bolivia,Banzer Suarez,45,1971,1972,B,2525,0,1.0534631480058074,2.467,6.160261727082049,-7,0
49,145,Bolivia,Banzer Suarez,46,1972,1973,B,2525,0,1.066509909304669,2.54,6.180304396929594,-7,0
49,145,Bolivia,Banzer Suarez,47,1973,1974,B,2525,0,1.0925375598481095,2.647,6.204127366931472,-7,0
49,145,Bolivia,Banzer Suarez,48,1974,1975,B,2525,0,1.1108427915962327,2.76,6.229737076114583,-7,0
49,145,Bolivia,Banzer Suarez,49,1975,1976,B,2525,0,1.110417479516192,2.846,6.247261137697191,-7,0
49,145,Bolivia,Banzer Suarez,50,1976,1977,B,2525,0,1.102941176470588,2.925,6.269581014690062,-7,0
