"","ccode","year","coup","pre_coups","time_since_last_coup","coup_dummy"
"374",221,1954,0,0,4,0
"375",223,1954,0,0,4,0
"376",225,1954,0,0,4,0
"377",230,1954,0,0,4,0
"378",232,1954,0,0,4,0
"379",235,1954,0,0,4,0
"380",260,1954,0,0,4,0
"381",265,1954,0,0,4,0
"382",290,1954,0,0,4,0
"383",305,1954,0,0,4,0
"384",310,1954,0,0,4,0
"385",315,1954,0,0,4,0
"386",325,1954,0,0,4,0
"387",331,1954,0,0,4,0
"388",339,1954,0,0,4,0
"389",345,1954,0,0,4,0
"390",350,1954,0,0,4,0
"391",355,1954,0,0,4,0
"392",360,1954,0,0,4,0
"393",365,1954,0,0,4,0
"394",375,1954,0,0,4,0
"395",380,1954,0,0,4,0
"396",385,1954,0,0,4,0
"397",390,1954,0,0,4,0
"398",395,1954,0,0,4,0
"399",450,1954,0,0,4,0
"400",530,1954,0,0,4,0
"401",560,1954,0,0,4,0
"402",620,1954,0,0,3,0
"403",630,1954,0,1,1,1
"404",640,1954,0,0,4,0
"405",645,1954,0,0,4,0
"406",651,1954,2,1,2,1
"407",652,1954,2,1,3,1
"408",660,1954,0,0,4,0
"409",663,1954,0,0,4,0
"410",666,1954,0,0,4,0
"411",670,1954,0,0,4,0
"412",678,1954,0,0,4,0
"413",698,1954,0,0,4,0
"414",700,1954,0,0,4,0
"415",710,1954,0,0,4,0
"416",712,1954,0,0,4,0
"417",713,1954,0,0,4,0
"418",731,1954,0,0,4,0
"419",732,1954,0,0,4,0
"420",740,1954,0,0,4,0
"421",750,1954,0,0,4,0
"422",760,1954,0,0,4,0
"423",770,1954,0,0,4,0
"424",775,1954,0,0,4,0
"425",780,1954,0,0,4,0
"426",790,1954,0,0,4,0
"427",800,1954,0,1,3,1
"428",811,1954,0,0,1,0
"429",812,1954,0,0,0,0
"430",816,1954,0,0,0,0
"431",817,1954,0,0,0,0
"432",840,1954,0,0,4,0
"433",850,1954,0,0,4,0
"434",900,1954,0,0,4,0
"435",920,1954,0,0,4,0
"436",2,1955,0,0,5,0
"437",20,1955,0,0,5,0
"438",40,1955,0,1,3,1
"439",41,1955,0,1,5,1
"440",42,1955,0,0,5,0
"441",70,1955,0,0,5,0
"442",90,1955,1,1,1,1
"443",91,1955,0,0,5,0
"444",92,1955,0,0,5,0
"445",93,1955,0,0,5,0
"446",94,1955,0,0,5,0
"447",95,1955,0,1,4,1
"448",100,1955,0,1,2,1
"449",101,1955,0,1,3,1
"450",130,1955,0,2,1,1
"451",135,1955,0,1,1,1
"452",140,1955,2,0,5,0
"453",145,1955,0,4,2,1
"454",150,1955,1,1,1,1
"455",155,1955,0,0,5,0
"456",160,1955,2,1,4,1
"457",165,1955,0,0,5,0
"458",200,1955,0,0,5,0
"459",205,1955,0,0,5,0
"460",210,1955,0,0,5,0
"461",211,1955,0,0,5,0
"462",212,1955,0,0,5,0
"463",220,1955,0,0,5,0
"464",221,1955,0,0,5,0
"465",223,1955,0,0,5,0
"466",225,1955,0,0,5,0
"467",230,1955,0,0,5,0
"468",232,1955,0,0,5,0
"469",235,1955,0,0,5,0
"470",260,1955,0,0,5,0
"471",265,1955,0,0,5,0
"472",290,1955,0,0,5,0
"473",305,1955,0,0,5,0
"474",310,1955,0,0,5,0
"475",315,1955,0,0,5,0
"476",325,1955,0,0,5,0
"477",331,1955,0,0,5,0
"478",339,1955,0,0,5,0
"479",345,1955,0,0,5,0
"480",350,1955,0,0,5,0
"481",355,1955,0,0,5,0
"482",360,1955,0,0,5,0
"483",365,1955,0,0,5,0
"484",375,1955,0,0,5,0
"485",380,1955,0,0,5,0
"486",385,1955,0,0,5,0
"487",390,1955,0,0,5,0
"488",395,1955,0,0,5,0
"489",450,1955,0,0,5,0
"490",530,1955,0,0,5,0
"491",560,1955,0,0,5,0
"492",620,1955,0,0,4,0
"493",630,1955,0,1,2,1
"494",640,1955,0,0,5,0
"495",645,1955,0,0,5,0
"496",651,1955,0,2,1,1
"497",652,1955,0,2,1,1
"498",660,1955,0,0,5,0
"499",663,1955,0,0,5,0
"500",666,1955,0,0,5,0
"501",670,1955,0,0,5,0
"502",678,1955,1,0,5,0
"503",698,1955,0,0,5,0
"504",700,1955,0,0,5,0
"505",710,1955,0,0,5,0
"506",712,1955,0,0,5,0
"507",713,1955,0,0,5,0
"508",731,1955,0,0,5,0
"509",732,1955,0,0,5,0
"510",740,1955,0,0,5,0
"511",750,1955,0,0,5,0
"512",760,1955,0,0,5,0
"513",770,1955,0,0,5,0
"514",775,1955,0,0,5,0
"515",780,1955,0,0,5,0
"516",790,1955,0,0,5,0
"517",800,1955,0,1,4,1
"518",811,1955,0,0,2,0
"519",812,1955,0,0,1,0
"520",816,1955,0,0,1,0
"521",817,1955,0,0,1,0
"522",840,1955,0,0,5,0
"523",850,1955,0,0,5,0
"524",900,1955,0,0,5,0
"525",920,1955,0,0,5,0
